,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Nomor,Operasi,Volume,Jumlah client worker pool,Jumlah server worker pool,Waktu total per client (s),Throughput,Jumlah worker client yang sukses,Jumlah worker client yang gagal,Jumlah Worker Server Sukses,Jumlah Worker Server Gagal
,,,1,upload,10MB,1,1,0.13s,75.10 MB/s,1,0,1,0
,,,2,upload,10MB,5,1,0.27s,48.30 MB/s,5,0,1,0
,,,3,upload,10MB,50,1,2.09s,10.92 MB/s,50,0,1,0
,,,4,upload,50MB,1,1,0.81s,62.99 MB/s,1,0,1,0
,,,5,upload,50MB,5,1,2.09s,30.26 MB/s,5,0,1,0
,,,6,upload,50MB,50,1,13.50s,6.80 MB/s,50,0,1,0
,,,7,upload,100MB,1,1,2.96s,36.22 MB/s,1,0,1,0
,,,8,upload,100MB,5,1,5.69s,23.23 MB/s,5,0,1,0
,,,9,upload,100MB,50,1,59.99s,3.60 MB/s,50,0,1,0
,,,10,download,10MB,1,1,0.07s,23.48 MB/s,1,0,1,0
,,,11,download,10MB,5,1,0.07s,10.89 MB/s,5,0,1,0
,,,12,download,10MB,50,1,0.33s,1.86 MB/s,50,0,1,0
,,,13,download,50MB,1,1,0.11s,30.33 MB/s,1,0,1,0
,,,14,download,50MB,5,1,0.15s,10.70 MB/s,5,0,1,0
,,,15,download,50MB,50,1,0.41s,1.43 MB/s,50,0,1,0
,,,16,download,100MB,1,1,0.04s,24.40 MB/s,1,0,1,0
,,,17,download,100MB,5,1,0.08s,2.52 MB/s,5,0,1,0
,,,18,download,100MB,50,1,0.41s,1.93 MB/s,50,0,1,0
,,,19,upload,10MB,1,5,0.21s,54.38 MB/s,1,0,5,0
,,,20,upload,10MB,5,5,0.50s,20.19 MB/s,5,0,5,0
,,,21,upload,10MB,50,5,2.14s,6.85 MB/s,50,0,5,0
,,,22,upload,50MB,1,5,0.96s,51.27 MB/s,1,0,5,0
,,,23,upload,50MB,5,5,5.02s,9.99 MB/s,5,0,5,0
,,,24,upload,50MB,50,5,20.38s,3.75 MB/s,50,0,5,0
,,,25,upload,100MB,1,5,3.08s,32.54 MB/s,1,0,5,0
,,,26,upload,100MB,5,5,17.10s,5.86 MB/s,5,0,5,0
,,,27,upload,100MB,50,5,81.01s,2.09 MB/s,50,0,5,0
,,,28,download,10MB,1,5,0.05s,27.46 MB/s,1,0,5,0
,,,29,download,10MB,5,5,0.06s,2.90 MB/s,5,0,5,0
,,,30,download,10MB,50,5,0.43s,1.62 MB/s,50,0,5,0
,,,31,download,50MB,1,5,0.04s,27.31 MB/s,1,0,5,0
,,,32,download,50MB,5,5,0.08s,5.50 MB/s,5,0,5,0
,,,33,download,50MB,50,5,0.41s,1.15 MB/s,50,0,5,0
,,,34,download,100MB,1,5,0.05s,28.51 MB/s,1,0,5,0
,,,35,download,100MB,5,5,0.05s,6.91 MB/s,5,0,5,0
,,,36,download,100MB,50,5,0.46s,1.50 MB/s,50,0,5,0
,,,37,upload,10MB,1,50,0.12s,97.42 MB/s,1,0,50,0
,,,38,upload,10MB,5,50,0.50s,20.46 MB/s,5,0,50,0
,,,39,upload,10MB,50,50,5.70s,1.77 MB/s,50,0,50,0
,,,40,upload,50MB,1,50,1.02s,50.04 MB/s,1,0,50,0
,,,41,upload,50MB,5,50,4.10s,12.17 MB/s,5,0,50,0
,,,42,upload,50MB,50,50,57.96s,0.87 MB/s,50,0,50,0
,,,43,upload,100MB,1,50,0,0.00 MB/s,0,50,0,50
,,,44,upload,100MB,5,50,0,0.00 MB/s,0,50,0,50
,,,45,upload,100MB,50,50,0,0.00 MB/s,0,50,0,50
,,,46,download,10MB,1,50,0.06s,14.17 MB/s,1,0,50,0
,,,47,download,10MB,5,50,0.10s,6.02 MB/s,5,0,50,0
,,,48,download,10MB,50,50,0.53s,1.06 MB/s,50,0,50,0
,,,49,download,50MB,1,50,0.06s,24.71 MB/s,1,0,50,0
,,,50,download,50MB,5,50,0.07s,5.34 MB/s,5,0,50,0
,,,51,download,50MB,50,50,0.53s,0.90 MB/s,50,0,50,0
,,,52,download,100MB,1,50,0.04s,27.14 MB/s,1,0,50,0
,,,53,download,100MB,5,50,0.07s,2.51 MB/s,5,0,50,0
,,,54,download,100MB,50,50,0.50s,0.91 MB/s,50,0,50,0
